Continent,Population Growth 2022,Population Growth 2020,Population Growth 2015,Population Growth 2010,Population Growth 2000,Population Growth 1990,Population Growth 1980,Population Growth 1970
Africa,1451559,3908512,3686810,5081723,5256547,6778696,4943463,13795915
Asia,2156541,5218731,5563827,8646690,8848186,-1791835,1733660,10752971
Europe,-24528,-15632,-30918,-268622,-113045,353415,616920,2324731
North America,272,1060,1353,2125,2731,1756,277,6283
Oceania,-1916,-5179,-3481,-3381,10412,14932,5811,27075
South America,474286,1778967,2156942,4029349,4433117,4612854,4182000,23842803
,,,,,,,,
Used the transpose function under COPY - PASTE SPECIAL,,,,,,,,
,,,,,,,,
Continent,Africa,Asia,Europe,North America,Oceania,South America,,
Population Growth 2022,1451559,2156541,-24528,272,-1916,474286,,
Population Growth 2020,3908512,5218731,-15632,1060,-5179,1778967,,
Population Growth 2015,3686810,5563827,-30918,1353,-3481,2156942,,
Population Growth 2010,5081723,8646690,-268622,2125,-3381,4029349,,
Population Growth 2000,5256547,8848186,-113045,2731,10412,4433117,,
Population Growth 1990,6778696,-1791835,353415,1756,14932,4612854,,
Population Growth 1980,4943463,1733660,616920,277,5811,4182000,,
Population Growth 1970,13795915,10752971,2324731,6283,27075,23842803,,
